,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
140,leon chang,bird world,winter melon valley,5ppzr3TBnVeWIdFI1UWdMW,0.493,0.177,9,-21.108,1,0.114,0.95,0.282,0.0641,120.094,193451,3
141,Yasushi Yoshida,Heavenly Me Last Days,Last Days,2wKV2ewqNf2ZjW4Nn2X5i7,0.27,0.059,11,-15.189,0,0.0382,0.819,0.0896,0.0383,79.159,599547,4
142,GENTLE LOVE,Prescription for Sleep: Undertale,Finally Home,7aJVOIbTlOthOz7XzhXkLc,0.312,0.0388,6,-22.222,1,0.0315,0.0748,0.364,0.105,81.339,515834,3
143,Shigeru Kishida,リラックマとカオルさん オリジナル・サウンドトラック (NETFLIXオリジナルシリーズ),悲しい気持ち,7lwVefyeUDaEqcKOOvx7XP,0.177,0.00178,1,-23.75,1,0.0419,0.845,0.104,0.35,200.789,142167,3
144,SIE Sound Team,Dark Cloud Original Soundtrack,回想,57TXd9OJu3Xsx6mDHteOwJ,0.739,0.171,8,-13.502,0,0.0886,0.949,0.108,0.132,143.944,108427,4
145,Shook,Bicycle Ride,Bicycle Ride,4GkYqdnsWmNPPetlxbhnZ0,0.75,0.394,9,-12.712,0,0.0348,0.912,0.186,0.593,89.965,243120,4
146,The Paper Kites,On the Corner Where You Live,A Gathering on 57th,1cnpE2o3QZSpg6Ma0Sr0cJ,0.52,0.129,0,-15.577,1,0.0356,0.919,0.371,0.51,74.227,90973,3
147,Wave Mage,Breaking the Dream,Breaking the Dream (Lucid Dream Edit),5Z25dBtcA49xWuaXrfaYnH,0.454,0.178,7,-18.003,1,0.0274,0.324,0.132,0.126,90.018,256792,4
148,The Lock-In,The Lock-In,Locked In,30ps6ex21uHnrsnWxXPChA,0.569,0.611,7,-10.91,0,0.0611,0.881,0.127,0.697,193.997,920102,4
149,JBM,Suite Gasolera,Opus 15 'Escolar',49qgmADQt9dHvMmgSo76du,0.684,0.0309,9,-19.815,1,0.0661,0.869,0.326,0.224,101.493,170893,4
