artist,track,datetime,album,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mt. Wolf,Red (the Walton Hoax Remix),2016-12-04 23:15:07,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
Mt. Wolf,Red (the Walton Hoax Remix),2016-12-02 14:12:45,Red (Deluxe Version),2015-04-13,"['chamber pop', 'vapor soul']",254309.0,26.0,0.562,0.5589999999999999,5.0,-8.827,0.0,0.0354,0.0932,0.153,0.10300000000000001,0.0611,123.963,4.0
Wax Tailor,Seize The Day (phonovisions Symphonic Version),2018-07-15 19:05:12,Phonovisions Symphonic Orchestra,2014-11-03,"['electro swing', 'electronica', 'ninja', 'nu jazz', 'trip hop', 'turntablism']",186546.0,32.0,0.606,0.657,6.0,-7.8820000000000014,0.0,0.0425,0.318,0.484,0.322,0.546,83.001,4.0
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),2018-07-08 19:42:28,Cross My Mind: The Mixtape,2017-08-18,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",217793.0,58.0,0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,4.0
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),2018-06-26 08:10:24,Cross My Mind: The Mixtape,2017-08-18,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",217793.0,58.0,0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,4.0
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),2018-05-12 14:21:54,Cross My Mind: The Mixtape,2017-08-18,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",217793.0,58.0,0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,4.0
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),2018-01-16 14:52:15,Cross My Mind: The Mixtape,2017-08-18,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",217793.0,58.0,0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,4.0
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),2017-10-22 16:26:36,Cross My Mind: The Mixtape,2017-08-18,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",217793.0,58.0,0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,4.0
A R I Z O N A,Cross My Mind Pt. 2 (feat. Kiiara),2017-10-07 12:27:24,Cross My Mind: The Mixtape,2017-08-18,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']",217793.0,58.0,0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,4.0
The Midnight,River Of Darkness (instrumental),2018-06-28 07:30:16,Nocturnal (The Instrumentals),2017-12-15,"['nightrun', 'popwave']",364960.0,25.0,0.557,0.728,3.0,-5.416,0.0,0.0307,0.00562,0.853,0.13,0.155,130.002,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2018-05-31 18:33:29,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2018-04-07 18:59:59,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-11-14 11:17:54,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-10-09 19:35:57,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-09-21 14:11:17,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-03-12 15:59:51,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-03-10 19:01:01,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-03-03 19:11:23,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-02-16 20:19:26,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-02-11 22:30:37,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-02-10 01:16:06,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Amalee,Again (fullmetal Alchemist: Brotherhood),2017-02-01 21:40:09,"Total Coverage, Vol. 1",2016-09-13,"['anime latino', 'otacore']",273230.0,49.0,0.583,0.884,2.0,-4.143,0.0,0.113,0.0061600000000000005,1.01e-05,0.07400000000000001,0.733,130.003,4.0
Sensations' Fix,Acudreaming,2018-05-10 06:49:44,Music Is Painting In the Air (1974 - 1977),2012-09-18,['italian progressive rock'],182459.0,14.0,0.3670000000000001,0.261,9.0,-17.627,0.0,0.0521,0.956,0.94,0.109,0.35700000000000004,123.81,5.0
Weezer,Keep Fishin,2018-04-03 19:15:53,Maladroit,2002-05-14,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'rock']",172266.0,46.0,0.354,0.773,4.0,-5.37,1.0,0.0469,7.82e-05,5.6299999999999986e-05,0.127,0.721,131.569,4.0
The Script,Good Ol’ Days,2018-04-02 15:17:25,#3,2012-09-10,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",263920.0,34.0,0.5489999999999999,0.945,7.0,-4.351,1.0,0.0329,0.031,0.0,0.114,0.565,93.99799999999999,4.0
Tycho,Dictaphone’s Lament,2018-03-29 19:06:23,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-12-10 08:26:15,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-09-01 08:11:21,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-08-31 03:25:03,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-07-06 23:14:01,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-06-22 17:27:13,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-06-01 23:56:55,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-05-30 01:07:08,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
Tycho,Dictaphone’s Lament,2017-04-18 21:09:48,Past Is Prologue,2006-10-25,"['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",310706.0,44.0,0.5660000000000001,0.556,0.0,-9.312000000000001,1.0,0.0295,0.00748,0.898,0.122,0.266,75.983,4.0
