name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Everytime,愛是唯一,愛是唯一,2019-03-16,['chinese indie'],391125,38,0.362,0.679,11,-4.863,0,0.0346,0.162,0.000147,0.115,0.424,80.336,4
Everytime,愛是唯一,愛是唯一,2019-03-16,['chinese indie'],391125,38,0.362,0.679,11,-4.863,0,0.0346,0.162,0.000147,0.115,0.424,80.336,4
Cosmic Love,Lungs (Deluxe Edition),Florence + The Machine,2009,"['art pop', 'baroque pop', 'pop', 'uk alternative pop']",255133,60,0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,4
We Stayed Up All Night - Instrumental,We Stayed Up All Night (Remixes),Tourist,2017-09-22,"['chillwave', 'electronica', 'indie soul', 'indietronica', 'shimmer pop', 'tropical house', 'vapor soul']",265658,38,0.533,0.839,11,-8.231,1,0.0325,0.136,0.776,0.167,0.445,84.996,4
Win,Disasters for Piano,Disasterpeace,2017-11-05,"['chiptune', 'indie game soundtrack', 'video game music']",295500,33,0.27,0.198,10,-16.59,1,0.0425,0.989,0.899,0.0927,0.0399,90.814,4
Lay Here,Blushing,Copeland,2019-02-14,"['chamber pop', 'dreamo', 'emo', 'piano rock']",252693,34,0.622,0.425,9,-9.351,0,0.0304,0.72,3.64e-05,0.0798,0.414,111.994,4
Static Hymn,Every Nothing,Tides Of Man,2018-08-03,"['dreamo', 'progressive post-hardcore', 'tampa indie']",252000,30,0.173,0.797,8,-7.115,1,0.0557,0.00387,0.891,0.17,0.252,100.023,4
Mere Bina,Crook (Original Motion Picture Soundtrack),Pritam,2010-09-03,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood', 'sufi']",289560,57,0.495,0.768,2,-5.7,1,0.0545,0.653,0.0,0.152,0.489,79.909,4
On Top,Routines,Hoops,2017-05-05,"['chillwave', 'garage psych', 'indie garage rock', 'neo-psychedelic']",225029,33,0.41,0.899,6,-3.48,0,0.0602,0.00164,0.0736,0.146,0.314,115.513,4
Misread,Morningside,Fazerdaze,2017-05-05,['nz indie'],150894,28,0.521,0.66,0,-9.643,1,0.0361,4.16e-06,0.759,0.162,0.427,123.996,5
illusory sense,she waits patiently,ichika,2018-04-01,['japanese math rock'],228364,45,0.556,0.384,1,-10.49,0,0.0281,0.771,0.00138,0.139,0.137,99.984,3
Bye-bye Darling,Blue Madonna,BØRNS,2018-01-12,"['electropop', 'indie pop', 'modern rock', 'pop']",299024,50,0.384,0.495,2,-6.498,1,0.0301,0.819,0.461,0.676,0.149,73.944,4
Everywhere All At Once,When I Think Of You In A Castle,Post Animal,2018-04-20,"['indie garage rock', 'neo-psychedelic']",152213,33,0.273,0.319,7,-21.386,1,0.0359,0.5,0.966,0.404,0.0522,135.954,4
The Joke - Bayonne Remix,The Joke (Bayonne Remix),Flock of Dimes,2017-07-27,['baltimore indie'],267111,42,0.607,0.886,5,-5.395,1,0.0289,0.583,0.946,0.0894,0.806,140.029,4
"The More I Sleep, The Less I Dream.",The More I Sleep the Less I Dream,We Were Promised Jetpacks,2018-09-14,"['indie rock', 'modern rock', 'scottish indie']",342953,33,0.33,0.498,8,-7.953,1,0.0352,0.0747,0.544,0.122,0.386,181.421,3
6am & Do It Again,Distraction Sickness,Dark Rooms,2017-09-08,['la pop'],270160,34,0.557,0.41,2,-9.242,0,0.0379,0.00622,0.000838,0.109,0.422,79.954,4
Crushin',Crushin',Film School,2018-05-10,"['american shoegaze', 'dreamgaze', 'garage psych', 'nu gaze', 'shoegaze']",230933,39,0.413,0.706,5,-6.8,1,0.0335,1.02e-05,0.94,0.174,0.252,104.981,4
Omaha,Omaha,Toro y Moi,2017-04-10,"['alternative dance', 'chillwave', 'indie pop', 'indie soul', 'indietronica', 'new rave', 'nu gaze']",196790,58,0.618,0.498,3,-8.29,1,0.0259,0.0645,0.0301,0.291,0.818,80.055,4
Songbirds,WHALE LIVING,Homecomings,2018-10-24,"['japanese alternative rock', 'japanese indie pop', 'japanese shoegaze']",329140,32,0.631,0.744,9,-6.171,1,0.0251,0.275,0.00436,0.276,0.573,113.978,4
No Below,Major Arcana,Speedy Ortiz,2013-07-09,"['indie punk', 'new england emo', 'western mass indie']",223800,46,0.498,0.401,9,-9.043,1,0.0304,0.116,0.0378,0.109,0.297,111.88,3
Roses/Lotus/Violet/Iris,Petals For Armor,Hayley Williams,2020-05-08,[],321044,56,0.643,0.633,11,-9.368,0,0.0473,0.0942,0.00477,0.248,0.382,98.984,4
Take My Head,Peripheral Vision,Turnover,2015-09-04,"['alternative emo', 'anthem emo', 'emo', 'indie rock']",193911,51,0.316,0.859,2,-6.982,1,0.0358,0.221,0.15,0.102,0.355,160.925,4
Midnight Surf,Slow Wave,The Velveteins,2017-05-12,"['edmonton indie', 'indie garage rock']",271546,40,0.155,0.862,0,-5.317,1,0.0683,0.0361,0.000614,0.263,0.219,77.239,4
The Mind Still Travels,Lingering Pt. II,Sleep Party People,2018-09-21,['danish indie pop'],250013,31,0.456,0.858,0,-6.737,1,0.0401,0.0219,0.458,0.384,0.677,152.97,4
Could Never Be Heaven,Science Fiction,Brand New,2017-08-18,"['emo', 'pop punk', 'screamo']",196400,41,0.499,0.217,1,-14.433,0,0.0406,0.898,0.295,0.112,0.26,138.17,3
I.W.W.I.T.I.W.,Pure in the Plastic,Polyenso,2016-04-01,"['dreamo', 'progressive post-hardcore', 'st petersburg fl indie']",273440,34,0.466,0.553,7,-6.317,0,0.0707,0.37,3.33e-05,0.408,0.29,141.755,4
Flipper,Glitter,Pasteboard,2006,"['indie shoegaze', 'japanese dream pop', 'japanese indie rock', 'japanese shoegaze', 'nu gaze', 'shoegaze']",240520,37,0.775,0.351,2,-15.096,1,0.0397,0.16,0.965,0.0916,0.524,110.001,4
Call It Home,Mahjong Room,Ginger Root,2018-06-29,['oc indie'],218571,36,0.678,0.593,2,-6.426,1,0.0287,0.609,0.688,0.124,0.511,97.994,4
Slow Down,New Skin,CRX,2016-10-28,"['modern hard rock', 'modern rock', 'palm desert scene']",245760,41,0.264,0.857,7,-4.253,0,0.0521,0.00011,3.5e-06,0.217,0.358,135.886,4
AZ,Saved,"Now, Now",2018-05-18,"['dreamo', 'electropop', 'indie poptimism', 'indie rock', 'indietronica', 'minneapolis indie', 'shimmer pop']",215520,32,0.682,0.526,11,-6.596,1,0.03,0.136,0.00427,0.0641,0.839,86.0,4
Sleep in the Light,Johnny Goth / Molly Drag,Johnny Goth,2018-11-16,['bedroom pop'],256125,36,0.556,0.517,7,-16.292,1,0.0351,0.416,0.858,0.113,0.365,119.959,4
Asking 4 a Friend,Quit the Curse,Anna Burch,2018-02-02,"['art pop', 'chamber pop', 'chamber psych', 'detroit indie', 'garage psych', 'indie folk', 'indie rock']",233306,37,0.329,0.578,9,-7.085,1,0.0297,0.0336,0.00212,0.0912,0.456,204.775,4
Good Thing,Not Going Back EP,Henry Nowhere,2018-09-14,['bedroom pop'],169000,30,0.626,0.845,8,-7.73,0,0.0533,0.743,0.598,0.105,0.719,142.048,4
Seasons,Close Eyes to Exit,Klangstof,2016-10-28,"['dutch indie', 'dutch indie rock', 'vapor soul']",154320,39,0.525,0.68,1,-7.576,1,0.0288,0.0182,0.00182,0.0918,0.416,90.026,4
Dying Alone,Doing the Best We Can,American Pets,2018-02-16,[],231693,40,0.521,0.703,2,-6.717,1,0.0248,0.0186,0.263,0.122,0.561,88.015,4
Dark Matter,Black Bear,Andrew Belle,2013-08-20,"['acoustic pop', 'indie anthem-folk', 'indie folk', 'indie poptimism', 'indiecoustica', 'neo mellow', 'pop rock']",318439,44,0.483,0.806,7,-5.111,0,0.0321,0.0881,0.000895,0.0991,0.19,147.049,4
Every High - Young & Sick in-Flight Remix,Every High (The Remixes),Kyson,2018-11-14,"['ambient idm', 'vapor soul']",258000,53,0.766,0.572,10,-10.182,0,0.0433,0.0202,0.015,0.0554,0.231,119.952,4
The Tide Pulls from the Moon - Acoustic Version,Gold in the Shadow (Deluxe Version),William Fitzsimmons,2011-12-20,"['acoustic pop', 'indie folk', 'neo mellow']",201226,9,0.588,0.214,10,-16.101,1,0.0356,0.844,0.127,0.101,0.531,137.871,4
Hollow Home Rd,Hollow Home Rd,Brolly,2012-07-22,['sacramento indie'],263752,31,0.369,0.273,0,-5.71,1,0.0317,0.884,2.31e-05,0.103,0.174,146.652,3
Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Justin Timberlake,2018-01-25,"['dance pop', 'pop']",278893,61,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,4
The Judge,Blurryface,Twenty One Pilots,2015-05-15,"['modern rock', 'rock']",297760,70,0.423,0.797,0,-4.659,1,0.124,0.177,0.0,0.137,0.592,82.617,4
Anywhere We Go - Stripped Down,Friends,Kaptan,2016-06-17,"['hopebeat', 'indie poptimism']",218702,47,0.562,0.403,9,-10.255,0,0.0258,0.466,2.78e-06,0.0747,0.284,145.014,4
Into the Mirror,Omni,Minus the Bear,2010-05-04,"['dance-punk', 'dreamo', 'emo', 'indie rock', 'modern rock', 'progressive post-hardcore', 'screamo']",310733,44,0.603,0.675,3,-5.58,0,0.0294,0.0238,0.000105,0.142,0.491,118.18,4
Whole Heart,Whole Heart,Gryffin,2016-08-26,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",225200,60,0.501,0.648,9,-7.173,1,0.0696,0.028,1.26e-05,0.153,0.191,163.834,4
The Only Way,ununiform,Tricky,2017-09-22,"['art pop', 'big beat', 'electronica', 'ninja', 'nu jazz', 'trip hop']",291040,50,0.656,0.421,4,-8.528,1,0.0291,0.248,0.775,0.1,0.1,120.012,4
Ripcord,Pablo Honey,Radiohead,1993-02-22,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",189733,44,0.256,0.906,2,-10.436,1,0.0548,1.93e-05,0.366,0.322,0.254,137.949,4
Featherstone,Woodland - EP,The Paper Kites,2013-03-05,"['australian indie folk', 'indie anthem-folk', 'indie folk', 'neo mellow', 'stomp and holler']",229626,59,0.803,0.373,8,-13.692,1,0.0367,0.868,0.0266,0.104,0.636,124.921,4
Featherstone,Woodland - EP,The Paper Kites,2013-03-05,"['australian indie folk', 'indie anthem-folk', 'indie folk', 'neo mellow', 'stomp and holler']",229626,59,0.803,0.373,8,-13.692,1,0.0367,0.868,0.0266,0.104,0.636,124.921,4
Nocturnal,Nocturnal,The Midnight,2017-10-14,"['nightrun', 'popwave']",423457,48,0.605,0.682,2,-11.373,1,0.055,0.127,0.849,0.113,0.0511,169.976,4
The Equalizer - Not Alone,"Drive Radio Selection, Vol. 1",Various Artists,2016-03-23,[],230372,30,0.527,0.7,0,-6.885,1,0.0309,0.0942,0.873,0.179,0.305,162.005,4
Kids (Reprise),Kids,The Midnight,2018-09-21,"['nightrun', 'popwave']",364122,44,0.516,0.639,5,-9.041,1,0.0305,0.0188,0.0191,0.41,0.272,139.963,4
America 2,Kids,The Midnight,2018-09-21,"['nightrun', 'popwave']",241500,49,0.599,0.57,10,-7.531,1,0.0248,0.0273,0.000316,0.116,0.299,129.994,4
America 2,Kids,The Midnight,2018-09-21,"['nightrun', 'popwave']",241500,49,0.599,0.57,10,-7.531,1,0.0248,0.0273,0.000316,0.116,0.299,129.994,4
Ye Tumhari Meri Baatein,Rock On,Shankar-Ehsaan-Loy,2010-02-16,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",324057,47,0.351,0.552,5,-7.404,1,0.0273,0.393,0.000494,0.112,0.319,87.769,4
Days of Thunder,Days of Thunder,The Midnight,2014-03-19,"['nightrun', 'popwave']",324018,56,0.47,0.834,0,-9.157,0,0.0368,6.54e-05,0.00102,0.372,0.189,162.922,4
Days of Thunder,Days of Thunder,The Midnight,2014-03-19,"['nightrun', 'popwave']",324018,56,0.47,0.834,0,-9.157,0,0.0368,6.54e-05,0.00102,0.372,0.189,162.922,4
Aquarium,Aquarium,Small Talk,2018-04-20,[],390986,22,0.333,0.463,0,-12.423,0,0.0318,0.00337,0.00412,0.0933,0.188,152.013,4
Aquarium,Aquarium,Small Talk,2018-04-20,[],390986,22,0.333,0.463,0,-12.423,0,0.0318,0.00337,0.00412,0.0933,0.188,152.013,4
Aquarium,Aquarium,Small Talk,2018-04-20,[],390986,22,0.333,0.463,0,-12.423,0,0.0318,0.00337,0.00412,0.0933,0.188,152.013,4
Aquarium,Aquarium,Small Talk,2018-04-20,[],390986,22,0.333,0.463,0,-12.423,0,0.0318,0.00337,0.00412,0.0933,0.188,152.013,4
Shoukei to Shikabane no Michi [TV Size],Shoukei to Shikabane no Michi [TV Size],Linked Horizon,2019-04-30,"['anime', 'anime latino', 'anime score', 'otacore']",90090,61,0.408,0.943,0,-4.579,0,0.0913,0.226,0.0,0.352,0.807,178.076,4
Get Upset,Spent - EP,Soy Christmas,2016-12-06,[],198068,32,0.679,0.562,3,-10.841,1,0.0351,0.891,0.352,0.137,0.192,87.953,4
Get Upset,Spent - EP,Soy Christmas,2016-12-06,[],198068,32,0.679,0.562,3,-10.841,1,0.0351,0.891,0.352,0.137,0.192,87.953,4
Get Upset,Spent - EP,Soy Christmas,2016-12-06,[],198068,32,0.679,0.562,3,-10.841,1,0.0351,0.891,0.352,0.137,0.192,87.953,4
Swim - offrami Remix,Swim (offrami Remix),Cape Cub,2016-04-15,['north east england indie'],160631,51,0.752,0.79,0,-6.041,1,0.0406,0.205,1.53e-06,0.185,0.592,115.978,4
Who Says,Battle Studies,John Mayer,2009-11-13,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",175480,68,0.584,0.509,2,-13.109,1,0.0287,0.267,0.00252,0.36,0.367,90.457,4
Fat Man,Atomic,Mogwai,2016-04-01,"['british post-rock', 'cosmic post-rock', 'post-rock']",358493,14,0.521,0.0689,5,-16.477,1,0.0269,0.622,0.937,0.0912,0.0386,98.997,4
Lost & Found,Lost & Found,The Midnight,2015-11-28,"['nightrun', 'popwave']",350886,47,0.552,0.647,10,-9.247,0,0.035,0.0581,0.000539,0.0949,0.381,157.945,4
Light Years,Nocturnal,The Midnight,2017-10-14,"['nightrun', 'popwave']",321360,48,0.593,0.507,0,-8.524,0,0.0281,0.131,0.000114,0.11,0.131,126.988,4
Kyra (The Midnight Remix),Kyra (The Midnight Remix),Clubhouse,2017-04-10,['columbus ohio indie'],282627,43,0.529,0.704,10,-9.155,1,0.028,0.00956,0.000107,0.114,0.129,98.017,4
Memories,Endless Summer,The Midnight,2016-08-01,"['nightrun', 'popwave']",379100,50,0.54,0.662,2,-9.03,1,0.0325,0.0208,0.0341,0.145,0.0753,112.98,3
回想,Dark Cloud Original Soundtrack,SIE Sound Team,2001-01-11,"['japanese vgm', 'sound team', 'video game music']",108426,19,0.739,0.171,8,-13.502,0,0.0886,0.889,0.949,0.108,0.132,143.944,4
Keep On Dancing,Home Tapes,Oh Wonder,2020-04-17,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'pop']",195493,58,0.586,0.562,6,-7.677,1,0.348,0.621,8.41e-05,0.092,0.606,81.28,4
I Like It When You Love Me,Home Tapes,Oh Wonder,2020-05-01,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'pop']",226560,62,0.481,0.432,5,-11.982,0,0.383,0.824,0.000347,0.105,0.194,83.595,4
Lonely Star,Home Tapes,Oh Wonder,2020-04-17,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'pop']",237386,60,0.487,0.277,1,-15.566,0,0.227,0.881,0.0151,0.0857,0.211,84.113,4
Sultans of Swing,Dire Straits,Dire Straits,1978-10-07,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",350400,67,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,4
Phir Le Aya Dil - Reprise,Barfi! (Original Motion Picture Soundtrack),Pritam,2012-06-24,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood', 'sufi']",305613,57,0.231,0.545,7,-8.92,1,0.0358,0.838,3.5e-06,0.0961,0.325,77.727,4
Love Soon - EP Version,Inside Wants Out,John Mayer,1999-09-24,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",217533,38,0.701,0.356,0,-10.237,1,0.031,0.836,0.000323,0.0944,0.564,97.304,4
The Dreamer,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",245866,53,0.581,0.232,0,-9.343,1,0.0309,0.723,4.39e-05,0.111,0.349,84.861,4
The Dreamer,Sometimes The Blues Is Just A Passing Bird,The Tallest Man On Earth,2010-11-09,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",245866,53,0.581,0.232,0,-9.343,1,0.0309,0.723,4.39e-05,0.111,0.349,84.861,4
You Are Mine,Mutemath,Mutemath,2006-10-09,['dreamo'],283720,41,0.386,0.707,7,-8.56,0,0.0386,0.0572,0.0641,0.366,0.402,104.868,3
Lofticries,Shrines,Purity Ring,2012-07-23,"['art pop', 'canadian electropop', 'chillwave', 'edmonton indie', 'electropop', 'escape room', 'grave wave', 'indie poptimism', 'indietronica', 'metropopolis', 'shimmer pop']",239613,52,0.671,0.73,8,-6.773,1,0.0369,0.116,0.000356,0.201,0.299,112.011,4
The Book of Love,69 Love Songs,The Magnetic Fields,1999-09-14,"['alternative rock', 'anti-folk', 'art pop', 'art rock', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'metropopolis', 'permanent wave', 'stomp and holler', 'tape club']",162413,60,0.484,0.262,7,-13.286,1,0.0263,0.978,5.99e-05,0.117,0.332,98.516,4
Pink in the Night,Be the Cowboy,Mitski,2018-08-17,"['art pop', 'brooklyn indie', 'escape room', 'indie pop', 'indie rock']",136667,56,0.262,0.398,2,-9.509,1,0.0303,0.184,0.0,0.294,0.11,102.835,4
City Love,Room For Squares,John Mayer,2001-08-16,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",240200,49,0.651,0.548,5,-6.036,1,0.0304,0.00576,5.58e-05,0.145,0.411,67.604,4
Instant Crush - Unpeeled,Unpeeled,Cage The Elephant,2017-07-28,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']",309386,55,0.588,0.869,10,-5.304,0,0.0318,0.00939,0.0,0.132,0.732,113.774,4
Shiver - Live at Urchin Studios,Live at Urchin Studios,Lucy Rose,2016-12-09,"['ambient folk', 'british singer-songwriter', 'chamber pop', 'indie anthem-folk', 'indie folk']",231004,17,0.501,0.119,6,-15.552,0,0.0574,0.932,1.88e-06,0.1,0.334,58.277,4
Elm,No Drum and Bass in the Jazz Room,Clever Girl,2018-11-23,['british math rock'],328056,39,0.321,0.753,1,-6.606,1,0.0376,0.0545,0.941,0.127,0.186,133.936,5
Komorebi,Komorebi / Mama's Wisdom,Catching Flies,2016-11-25,"['downtempo', 'electronica', 'indie dream pop', 'indie soul', 'new french touch', 'vapor soul', 'vapor twitch']",230341,46,0.568,0.489,7,-11.22,0,0.0353,0.716,0.743,0.106,0.0387,92.992,4
Sway,Sway,Keepitinside,2018-09-19,['lo-fi chill'],209631,42,0.524,0.26,0,-15.002,1,0.0469,0.649,0.0259,0.106,0.148,169.958,3
I Don't Wanna Be Okay Without You,Live in Peter's Attic,Charlie Burg,2016-12-20,"['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']",243796,62,0.532,0.319,5,-7.461,1,0.0288,0.399,2.52e-05,0.138,0.166,62.984,4
To Build A Home,Ma Fleur,The Cinematic Orchestra,2007-06-05,"['downtempo', 'electronica', 'ninja', 'nu jazz']",370666,69,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,4
Alrighty Aphrodite,Being So Normal,Peach Pit,2018-06-28,"['indie pop', 'modern rock', 'vancouver indie']",207813,67,0.534,0.724,6,-4.675,0,0.0495,0.00605,0.0929,0.108,0.503,81.846,4
Falling,No Sleep,m a l i b l u e : (,2015-08-13,"['future funk', 'hardvapour', 'vaporwave']",158000,25,0.137,0.436,3,-17.772,1,0.0338,0.94,0.852,0.111,0.326,94.422,3
Lovesong (The Way) [feat. Bluets],"One, Violet",Charlie Burg,2017-09-18,"['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']",239523,59,0.555,0.468,9,-7.64,1,0.0592,0.399,0.0,0.172,0.41,113.345,3
Currency Exchange,Paypal Playboy,Limousine,2018-02-14,"['future funk', 'hardvapour', 'vaporwave']",132530,24,0.546,0.68,1,-12.168,1,0.0294,0.27,0.96,0.488,0.681,124.454,4
Visitor Center,Hologram Plaza 2,Vapora,2017-03-08,"['future funk', 'hardvapour', 'vaporwave']",75808,24,0.606,0.721,1,-14.382,1,0.154,0.369,0.948,0.681,0.433,79.505,4
This Head I Hold - Acoustic,Holiday - EP,Electric Guest,2012-01-01,"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'vapor soul']",178188,18,0.7,0.41,0,-7.35,1,0.0516,0.709,0.00085,0.227,0.856,80.445,4
Across The Multiverse (feat. Frankie Cosmos),Across The Multiverse,Dent May,2017-08-18,"['indie fuzzpop', 'mississippi indie']",184933,31,0.683,0.813,6,-4.644,0,0.0293,0.282,4.67e-06,0.133,0.957,112.032,4
Dream Away the Night,Faded Blue,Lev Snowe,2018-06-01,['manitoba indie'],392000,30,0.563,0.719,4,-6.317,1,0.0255,3.59e-05,0.01,0.398,0.447,111.013,4
Million Miles Away,Mister Mellow,Washed Out,2017-06-30,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave', 'nu gaze', 'shimmer pop']",287226,43,0.524,0.699,0,-4.944,1,0.0354,0.0681,0.00159,0.227,0.254,122.0,4
Fade Into You,So Tonight That I Might See,Mazzy Star,1993-01-01,"['alternative rock', 'dream pop', 'melancholia', 'slowcore']",295600,72,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,3
Shampoo Bottles,You and Your Friends,Peach Pit,2020-04-03,"['indie pop', 'modern rock', 'vancouver indie']",224266,63,0.648,0.436,8,-9.578,1,0.0275,0.0232,0.0,0.0944,0.333,107.019,4
Trip To The Moon,Everyone's A Winner,Trailer Park Rangers,2004,[],302306,0,0.445,0.77,7,-7.125,1,0.0353,0.215,0.000193,0.361,0.547,124.437,4
