name,playcount,listeners,mbid,url,streamable,tags
Mariah Carey,91358549,2618529,494e8d09-f85b-4543-892f-a5096aed1cd4,https://www.last.fm/music/Mariah+Carey,0,"pop, rnb, female vocalists"
Yeah Yeah Yeahs,89851837,2581242,584c04d2-4acc-491b-8a0a-e63133f4bfc4,https://www.last.fm/music/Yeah+Yeah+Yeahs,0,"indie, indie rock, female vocalists"
John Mayer,118582284,2576693,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,https://www.last.fm/music/John+Mayer,0,"singer-songwriter, acoustic, rock"
The Beach Boys,76985879,2575293,ebfc1398-8d96-47e3-82c3-f782abcdb13d,https://www.last.fm/music/The+Beach+Boys,0,"classic rock, 60s, pop"
Queens of the Stone Age,149680970,2574625,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,https://www.last.fm/music/Queens+of+the+Stone+Age,0,"Stoner Rock, rock, alternative rock"
Black Sabbath,108188035,2565452,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,https://www.last.fm/music/Black+Sabbath,0,"heavy metal, hard rock, classic rock"
Kelly Clarkson,68353919,2556154,d339efbb-77b9-4147-ba9e-59f2f24550b2,https://www.last.fm/music/Kelly+Clarkson,0,"pop, female vocalists, pop rock"
Florence + the Machine,181816257,2549242,5fee3020-513b-48c2-b1f7-4681b01db0c6,https://www.last.fm/music/Florence+%252B+the+Machine,0,"indie, female vocalists, alternative"
Papa Roach,82411276,2546337,c5eb9407-caeb-4303-b383-6929aa94021c,https://www.last.fm/music/Papa+Roach,0,"rock, Nu Metal, alternative rock"
Elvis Presley,76108781,2530955,01809552-4f87-45b0-afff-2c6f0730a3be,https://www.last.fm/music/Elvis+Presley,0,"rock n roll, classic rock, rock"
Frank Sinatra,71946758,2514158,197450cd-0124-4164-b723-3c22dd16494d,https://www.last.fm/music/Frank+Sinatra,0,"jazz, swing, oldies"
My Chemical Romance,139268897,2511690,c07f0676-9143-4217-8a9f-4c26bd636f13,https://www.last.fm/music/My+Chemical+Romance,0,"rock, emo, alternative"
Eric Clapton,54030294,2507424,618b6900-0618-4f1e-b835-bccb17f84294,https://www.last.fm/music/Eric+Clapton,0,"classic rock, blues, rock"
Shakira,75430846,2502885,bf24ca37-25f4-4e34-9aec-460b94364cfc,https://www.last.fm/music/Shakira,0,"pop, latin, female vocalists"
T.I.,33585078,2500858,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,https://www.last.fm/music/T.I.,0,"Hip-Hop, rap, Dirty South"
Taylor Swift,268125255,2494732,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,0,"country, pop, female vocalists"
Creedence Clearwater Revival,63988341,2488229,44c48a1b-defd-4222-bee6-03f9ee9a7be9,https://www.last.fm/music/Creedence+Clearwater+Revival,0,"classic rock, rock, Southern Rock"
Simon & Garfunkel,67548927,2481675,5d02f264-e225-41ff-83f7-d9b1f0b1874a,https://www.last.fm/music/Simon+&+Garfunkel,0,"folk, classic rock, singer-songwriter"
Bon Jovi,68055294,2480987,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,https://www.last.fm/music/Bon+Jovi,0,"rock, hard rock, classic rock"
The Clash,88127365,2475185,8f92558c-2baa-4758-8c38-615519e9deda,https://www.last.fm/music/The+Clash,0,"punk, punk rock, british"
Modest Mouse,129291644,2471540,a96ac800-bfcb-412a-8a63-0a98df600700,https://www.last.fm/music/Modest+Mouse,0,"indie, indie rock, alternative"
Alicia Keys,53992261,2464515,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,https://www.last.fm/music/Alicia+Keys,0,"soul, rnb, female vocalists"
Evanescence,107498957,2464288,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,https://www.last.fm/music/Evanescence,0,"rock, Gothic Rock, female vocalists"
Disturbed,112424443,2455370,dc75517c-d268-486d-bd5b-0eaff34eeef9,https://www.last.fm/music/Disturbed,0,"metal, Nu Metal, hard rock"
Slipknot,139475274,2455043,ceb7b6be-1dbb-4d80-b157-5588bc884764,https://www.last.fm/music/Slipknot,0,"Nu Metal, metal, heavy metal"
Dr. Dre,42243159,2449377,5f6ab597-f57a-40da-be9e-adad48708203,https://www.last.fm/music/Dr.+Dre,0,"Hip-Hop, rap, Gangsta Rap"
Pixies,108684799,2447839,b6b2bb8d-54a9-491f-9607-7b546023b433,https://www.last.fm/music/Pixies,0,"alternative, indie, rock"
The Smiths,172516089,2445306,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,https://www.last.fm/music/The+Smiths,0,"indie, 80s, post-punk"
OneRepublic,68132515,2431714,c33c2065-b1c3-4406-b066-d33a9e2ea71a,https://www.last.fm/music/OneRepublic,0,"rock, pop rock, alternative"
The Police,48653705,2422226,9e0e2b01-41db-4008-bd8b-988977d6019a,https://www.last.fm/music/The+Police,0,"rock, classic rock, 80s"
The Shins,90530958,2417451,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,https://www.last.fm/music/The+Shins,0,"indie, indie rock, indie pop"
Panic! at the Disco,126388748,2397329,b9472588-93f3-4922-a1a2-74082cdf9ce8,https://www.last.fm/music/Panic%21+at+the+Disco,0,"rock, alternative, emo"
Calvin Harris,81575617,2395371,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,https://www.last.fm/music/Calvin+Harris,0,"electronic, dance, electro"
The Cranberries,61780407,2394947,c98d40fd-f6cf-4b26-883e-eaa515ee2851,https://www.last.fm/music/The+Cranberries,0,"rock, alternative, female vocalists"
Limp Bizkit,76962660,2379475,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,https://www.last.fm/music/Limp+Bizkit,0,"Nu Metal, rapcore, rock"
Jason Mraz,64267860,2368312,82eb8936-7bf6-4577-8320-a2639465206d,https://www.last.fm/music/Jason+Mraz,0,"singer-songwriter, acoustic, pop"
Nelly Furtado,45233468,2365118,13655113-cd16-4b43-9dca-cadbbf26ee05,https://www.last.fm/music/Nelly+Furtado,0,"pop, female vocalists, Canadian"
Beastie Boys,78377764,2356321,9beb62b2-88db-4cea-801e-162cd344ee53,https://www.last.fm/music/Beastie+Boys,0,"Hip-Hop, rap, alternative"
Interpol,126541086,2352011,c44ff8d1-8c81-45c8-abd6-5feefb07b764,https://www.last.fm/music/Interpol,0,"indie, indie rock, post-punk"
Fleetwood Mac,79618081,2339754,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,https://www.last.fm/music/Fleetwood+Mac,0,"classic rock, rock, 70s"
Sum 41,92491767,2330184,f2eef649-a6d5-4114-afba-e50ab26254d2,https://www.last.fm/music/Sum+41,0,"punk rock, punk, pop punk"
Three Days Grace,87662737,2329068,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,https://www.last.fm/music/Three+Days+Grace,0,"alternative rock, rock, alternative"
Wiz Khalifa,47744378,2328061,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,https://www.last.fm/music/Wiz+Khalifa,0,"Hip-Hop, rap, underground hip-hop"
The Chemical Brothers,63408232,2324485,1946a82a-f927-40c2-8235-38d64f50d043,https://www.last.fm/music/The+Chemical+Brothers,0,"electronic, dance, big beat"
Marilyn Manson,128029001,2315478,80cadd99-f560-41e3-babd-16292bbd248a,https://www.last.fm/music/Marilyn+Manson,0,"industrial, industrial metal, metal"
Vampire Weekend,109965319,2315428,af37c51c-0790-4a29-b995-456f98a6b8c9,https://www.last.fm/music/Vampire+Weekend,0,"indie, indie rock, indie pop"
2Pac,61039365,2308864,382f1005-e9ab-4684-afd4-0bdae4ee37f2,https://www.last.fm/music/2Pac,0,"rap, Hip-Hop, Gangsta Rap"
John Lennon,40038545,2301897,4d5447d7-c61c-4120-ba1b-d7f471d385b9,https://www.last.fm/music/John+Lennon,0,"classic rock, rock, singer-songwriter"
Sia,89418698,2300894,2f548675-008d-4332-876c-108b0c7ab9c5,https://www.last.fm/music/Sia,0,"female vocalists, chillout, indie"
Stevie Wonder,45783638,2299480,c1aa2ec9-53e7-4d90-8d36-bac75832e986,https://www.last.fm/music/Stevie+Wonder,0,"soul, funk, motown"
The Prodigy,103388850,2294868,4a4ee089-93b1-4470-af9a-6ff575d32704,https://www.last.fm/music/The+Prodigy,0,"electronic, techno, industrial"
Björk,122182086,2289767,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,https://www.last.fm/music/Bj%C3%B6rk,0,"electronic, alternative, experimental"
Bruce Springsteen,85227303,2281433,70248960-cb53-4ea4-943a-edb18f7d336f,https://www.last.fm/music/Bruce+Springsteen,0,"rock, classic rock, singer-songwriter"
The Black Keys,137620867,2278937,d15721d8-56b4-453d-b506-fc915b14cba2,https://www.last.fm/music/The+Black+Keys,0,"blues rock, blues, rock"
Gwen Stefani,33807778,2278174,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,https://www.last.fm/music/Gwen+Stefani,0,"pop, female vocalists, dance"
Lily Allen,72260289,2270461,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,https://www.last.fm/music/Lily+Allen,0,"pop, female vocalists, british"
Nine Inch Nails,188682602,2267480,b7ffd2af-418f-4be2-bdd1-22f8b48613da,https://www.last.fm/music/Nine+Inch+Nails,0,"industrial, industrial rock, rock"
Flo Rida,34131111,2258574,4593d49a-7f67-46ba-9ec0-126bd676286f,https://www.last.fm/music/Flo+Rida,0,"Hip-Hop, rap, hip hop"
Miley Cyrus,80896043,2254010,7e9bd05a-117f-4cce-87bc-e011527a8b18,https://www.last.fm/music/Miley+Cyrus,0,"pop, female vocalists, Disney"
Dire Straits,60075660,2248134,614e3804-7d34-41ba-857f-811bad7c2b7a,https://www.last.fm/music/Dire+Straits,0,"classic rock, rock, 80s"
Nicki Minaj,83833849,2229053,1036b808-f58c-4a3e-b461-a2c4492ecf1b,https://www.last.fm/music/Nicki+Minaj,0,"Hip-Hop, rap, rnb"
The Kinks,54577513,2213774,f53888c9-8bdc-4cc3-b2ab-ddab6bc5afb7,https://www.last.fm/music/The+Kinks,0,"classic rock, 60s, rock"
Jennifer Lopez,37581285,2213303,f0602f55-1770-483d-89bd-4bae0d0ac086,https://www.last.fm/music/Jennifer+Lopez,0,"pop, latin, rnb"
Deep Purple,55567920,2207932,79491354-3d83-40e3-9d8e-7592d58d790a,https://www.last.fm/music/Deep+Purple,0,"hard rock, classic rock, rock"
Eagles,37994869,2196476,f46bd570-5768-462e-b84c-c7c993bbf47e,https://www.last.fm/music/Eagles,0,"classic rock, rock, 70s"
The Notorious B.I.G.,44341135,2189524,d5d97b2b-b83b-4976-814a-056d9076c8c3,https://www.last.fm/music/The+Notorious+B.I.G.,0,"Hip-Hop, rap, Gangsta Rap"
Iron Maiden,175615664,2182902,ca891d65-d9b0-4258-89f7-e6ba29d83767,https://www.last.fm/music/Iron+Maiden,0,"heavy metal, metal, NWOBHM"
Jimmy Eat World,72850445,2173969,bbc5b66b-d037-4f26-aecf-0b129e7f876a,https://www.last.fm/music/Jimmy+Eat+World,0,"rock, alternative, emo"
Portishead,87205720,2162755,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,https://www.last.fm/music/Portishead,0,"trip-hop, electronic, female vocalists"
The Pussycat Dolls,31078780,2151328,1fda852b-92e9-4562-82fa-c52820a77b23,https://www.last.fm/music/The+Pussycat+Dolls,0,"pop, rnb, dance"
Lana Del Rey,271864879,2128197,b7539c32-53e7-4908-bda3-81449c367da6,https://www.last.fm/music/Lana+Del+Rey,0,"female vocalists, indie, indie pop"
Pitbull,35910630,2118563,d262ea27-3ffe-40f7-b922-85c42d625e67,https://www.last.fm/music/Pitbull,0,"Hip-Hop, rap, Reggaeton"
Phoenix,81713393,2117803,ec5bae34-cd8d-47cb-aa66-60bc0fdce77b,https://www.last.fm/music/Phoenix,0,"indie, french, indie pop"
Bon Iver,131216418,2110985,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,https://www.last.fm/music/Bon+Iver,0,"folk, indie, singer-songwriter"
James Blunt,44149710,2107321,ebee61b4-bbdd-4087-9bcb-d5aa099088ec,https://www.last.fm/music/James+Blunt,0,"pop, singer-songwriter, acoustic"
Ellie Goulding,89986934,2103274,33ca19f4-18c8-4411-98df-ac23890ce9f5,https://www.last.fm/music/Ellie+Goulding,0,"female vocalists, electronic, british"
No Doubt,43104713,2102299,fbd2a255-1d57-4d31-ac11-65b671c19958,https://www.last.fm/music/No+Doubt,0,"rock, pop, ska"
Joy Division,107809045,2097625,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,https://www.last.fm/music/Joy+Division,0,"post-punk, new wave, 80s"
Sufjan Stevens,137548483,2096557,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,https://www.last.fm/music/Sufjan+Stevens,0,"indie, folk, singer-songwriter"
Rise Against,147328328,2096138,606bf117-494f-4864-891f-09d63ff6aa4b,https://www.last.fm/music/Rise+Against,0,"punk rock, punk, melodic hardcore"
The Velvet Underground,66465494,2088971,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,https://www.last.fm/music/The+Velvet+Underground,0,"rock, classic rock, psychedelic"
Kylie Minogue,76760560,2054719,2fddb92d-24b2-46a5-bf28-3aed46f4684c,https://www.last.fm/music/Kylie+Minogue,0,"pop, dance, female vocalists"
Marvin Gaye,35777093,2053665,afdb7919-059d-43c1-b668-ba1d265e7e42,https://www.last.fm/music/Marvin+Gaye,0,"soul, motown, funk"
Nas,53528540,2049260,cfbc0924-0035-4d6c-8197-f024653af823,https://www.last.fm/music/Nas,0,"Hip-Hop, rap, hip hop"
M83,88443730,2035894,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,https://www.last.fm/music/M83,0,"electronic, shoegaze, post-rock"
Bob Marley & The Wailers,65987588,2034249,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley+&+The+Wailers,0,"reggae, roots reggae, ska"
Lynyrd Skynyrd,33556587,2024099,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,0,"classic rock, Southern Rock, rock"
Bruno Mars,60235186,2021640,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,0,"pop, rnb, male vocalists"
The xx,147433563,2020821,c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6,https://www.last.fm/music/The+xx,0,"indie, electronic, british"
