name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Gift,In This Moment,Gavin Luke,2018-08-10,"['background music', 'calming instrumental', 'focus', 'neo-classical']",158574,61,0.161,0.103,1,-21.268,1,0.0408,0.927,0.946,0.103,0.11,75.659,4
Mindful Composition,Mindful Composition,Enzo Electronic,2017-09-04,['background music'],209052,36,0.212,0.0487,1,-24.28,1,0.0483,0.983,0.941,0.106,0.0518,105.396,4
Wings of Glass,Wings of Glass,La Reve,2017-11-22,[],175681,41,0.199,0.0159,5,-28.047,0,0.0421,0.993,0.962,0.11,0.0375,69.841,3
1.5,Nachtmusik,Dee C'rell,2018-02-02,[],167880,22,0.145,0.0525,3,-26.383,1,0.0409,0.987,0.968,0.0988,0.0304,68.004,4
Anasazi,Anasazi,Morongo,2018-02-13,['background music'],219469,45,0.187,0.141,8,-23.411,1,0.0397,0.932,0.969,0.105,0.0372,66.003,4
Celtic Cowboy,Celtic Cowboy,Charlotte Funke,2017-07-07,"['background music', 'calming instrumental', 'focus']",152000,54,0.53,0.00457,5,-29.524,1,0.0455,0.994,0.968,0.0984,0.483,82.969,4
Longevity,Longevity,Novo Talos,2016-10-11,"['background music', 'background piano', 'calming instrumental', 'focus']",187301,47,0.329,0.059,3,-24.218,1,0.0348,0.995,0.904,0.109,0.148,72.152,4
Solution,Traummacher,Turquoise & Fire,2018-03-11,[],99228,40,0.271,0.00582,7,-28.783,1,0.0508,0.992,0.919,0.0923,0.0969,69.775,5
A Fighting Chance,Degrees Of Separation,Trevor Kowalski,2018-05-25,"['background music', 'calming instrumental', 'focus']",190684,49,0.0881,0.18,7,-21.121,0,0.0402,0.824,0.954,0.123,0.0384,69.36,4
Space 21 (petrichor),From Sleep,Max Richter,2015-09-04,"['compositional ambient', 'post-minimalism', 'soundtrack']",287786,34,0.0937,0.000234,5,-38.347,1,0.0536,0.864,0.923,0.132,0.0352,72.164,4
By Night,Pillars,Hushed,2017-05-05,"['background music', 'calming instrumental', 'focus']",238019,44,0.236,0.235,0,-17.019,0,0.0387,0.923,0.925,0.131,0.0615,133.955,3
Sad Ocean,Mirage,Chihei Hatakeyama,2017-06-09,"['ambient', 'compositional ambient', 'drift', 'drone', 'experimental ambient', 'fourth world', 'j-ambient', 'nu age']",228578,47,0.167,0.0174,10,-28.777,1,0.0484,0.984,0.966,0.0976,0.0337,68.43,3
It's In The Trees,The Wood Painter,Martin Gauffin,2011-08-08,"['background music', 'focus']",126000,33,0.0737,0.0122,9,-32.355,0,0.0371,0.968,0.877,0.0886,0.039,67.62,3
Angle of List,Sea Island,Loscil,2014-11-17,"['ambient', 'compositional ambient', 'drift', 'drone', 'dub techno', 'fourth world', 'intelligent dance music', 'microhouse', 'minimal techno', 'neo-classical', 'nu age']",405573,43,0.136,0.00215,2,-33.623,0,0.0455,0.925,0.817,0.095,0.0343,67.749,4
Quiet Resource,Quiet resource,Evelyn Stein,2017-02-07,['background piano'],207348,59,0.349,0.0205,5,-26.793,1,0.0425,0.995,0.93,0.0962,0.0396,68.983,1
Words Of Amber,For Now I Am Winter,Ólafur Arnalds,2013-01-01,"['bow pop', 'compositional ambient', 'focus', 'icelandic classical', 'neo-classical', 'neoclassical darkwave']",202933,38,0.242,0.0118,7,-33.7,0,0.0336,0.995,0.936,0.0757,0.214,162.025,4
Fiction Dawn,Owl Splinters,Deaf Center,2011-02-14,"['ambient', 'compositional ambient', 'dark jazz', 'drift', 'drone', 'nu age']",152160,34,0.448,0.00827,11,-27.805,0,0.0541,0.995,0.887,0.34,0.54,104.538,4
Reaching for Casterly,Chillout Bar Lounge 2018,Various Artists,2018-02-25,[],177092,45,0.535,0.181,11,-20.333,0,0.04,0.959,0.827,0.112,0.0531,124.993,4
Sleepers Beat Theme,Late Night Tales: Jon Hopkins,Jon Hopkins,2014-09-15,"['ambient', 'compositional ambient', 'electronica', 'intelligent dance music', 'post-rock']",277223,50,0.0929,0.0217,3,-35.311,1,0.0401,0.959,0.818,0.112,0.0405,166.189,3
Sea Of Tranquility,Sea Of Tranquility,Julius Aston,2018-03-27,['focus'],175318,57,0.316,0.00843,5,-30.838,1,0.0462,0.993,0.962,0.239,0.263,70.891,3
From Dusk til Dark,From Dusk til Dark,Strange Imagining,2017-09-04,"['background music', 'focus']",187802,45,0.214,0.02,8,-27.692,1,0.0392,0.977,0.926,0.103,0.0393,150.298,3
Reverie,Chasing Cloud Nine,LUCHS,2016-06-17,"['background music', 'calming instrumental', 'focus']",192750,57,0.358,0.00409,10,-28.239,0,0.0475,0.989,0.935,0.0998,0.108,81.654,4
Bionic,Bionic,Solvekin,2017-09-29,['background music'],211303,28,0.176,0.0665,7,-25.928,1,0.0449,0.976,0.958,0.0957,0.0386,71.608,4
The Valley,Theme From Schindlers List,Velodrome,2017-11-22,['background music'],185853,41,0.101,0.0149,3,-32.672,0,0.045,0.979,0.957,0.0927,0.0376,69.264,4
Temptation,Temptation,High Blue Sky,2016-12-18,['background music'],189211,37,0.263,0.0504,7,-20.935,0,0.0521,0.967,0.856,0.0767,0.0701,75.56,4
Divine Structure,Episode,Charlotte Funke,2018-03-27,"['background music', 'calming instrumental', 'focus']",227874,44,0.267,0.0213,5,-22.608,1,0.0497,0.987,0.919,0.102,0.0502,57.178,4
Ambient Sleep,Ambient Sleep,Enchanted Feel,2017-07-06,[],172815,36,0.59,0.224,3,-11.75,1,0.0389,0.991,0.745,0.13,0.19,108.659,4
Take Me Back,Home,Shiroishi,2017-09-29,['background music'],129149,48,0.166,0.134,0,-23.593,0,0.0361,0.984,0.978,0.129,0.038,129.068,5
Melancholia III,Melancholia,William Basinski,2003-01-17,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'experimental', 'fourth world', 'hauntology', 'intelligent dance music', 'sound art']",114146,30,0.217,0.00836,3,-33.306,1,0.0334,0.99,0.932,0.103,0.0379,69.766,1
Introspective,Sleepy Baby Piano,Various Artists,2016-12-11,[],174375,58,0.356,0.0199,6,-26.752,0,0.0645,0.994,0.956,0.155,0.326,79.547,4
Friendship Before Love,Friendship Before Love,Cellophane Roses,2016-12-04,[],109544,62,0.522,0.00251,9,-23.464,1,0.112,0.994,0.96,0.0891,0.732,72.002,4
Carry On,Carry On,Novo Talos,2018-02-08,"['background music', 'background piano', 'calming instrumental', 'focus']",115484,59,0.289,0.0176,8,-24.931,1,0.036,0.941,0.85,0.111,0.0477,73.598,4
Limbo,Limbo,They Dream By Day,2016-06-16,"['atmosphere', 'background music', 'focus']",134318,39,0.082,0.0204,2,-33.815,1,0.037,0.788,0.274,0.0552,0.0392,171.389,5
Beyond Voyager - Ambient Mix,Beyond Voyager,Nucleus A.D.,2018-02-13,[],217603,37,0.318,0.249,7,-18.959,0,0.0375,0.969,0.988,0.0974,0.101,123.954,4
The Same Answer,Jim: The James Foley Story (Original Motion Picture Soundtrack),Dan Romer,2016-05-09,['soundtrack'],89146,29,0.204,0.0021,0,-35.804,1,0.0466,0.993,0.947,0.0792,0.0936,86.844,3
Deep Forest - Cello Version,Deep Forest (Strings Version),Christopher Varela,2017-12-13,['calming instrumental'],112843,56,0.085,0.137,2,-15.559,1,0.0435,0.98,0.951,0.109,0.0592,167.408,4
Balm (Scaled Down Version),Balm,Peter Sandberg,2016-06-17,"['background music', 'calming instrumental', 'focus', 'neo-classical']",126937,54,0.353,0.0175,11,-22.767,1,0.0456,0.989,0.901,0.0971,0.286,106.507,3
Durga,Silent Dreams,Jane Carpatio,2017-12-30,[],170000,23,0.138,0.00133,5,-43.038,1,0.0542,0.983,0.86,0.1,0.0562,140.949,4
Mauve (Fughetta),Sapphire,Arden Forest,2018-05-25,"['background music', 'background piano', 'calming instrumental', 'focus']",147530,27,0.7,0.153,8,-23.515,1,0.0631,0.995,0.962,0.173,0.517,91.548,4
03,Parallel Landscapes,Steinbrüchel,2015-01-20,"['abstract', 'glitch', 'lowercase', 'sound art']",396500,18,0.14,0.00806,9,-32.156,0,0.0442,0.969,0.883,0.0754,0.0308,70.366,3
The Watchtower,The Watchtower,Sigimund,2016-07-20,['focus'],205577,59,0.248,0.0274,7,-28.768,0,0.0333,0.991,0.922,0.153,0.159,75.124,1
Solitude,Ichiru,Daigo Hanada,2017-02-24,"['compositional ambient', 'focus', 'japanese piano', 'neo-classical']",166830,48,0.307,0.0242,1,-28.599,0,0.038,0.979,0.962,0.204,0.474,106.994,4
Erin's Waltz,Erin's Waltz,Per Magnusson,2018-02-13,[],197155,32,0.486,0.0457,0,-20.259,0,0.0894,0.985,0.953,0.11,0.349,69.915,4
Breathe,Soon,Wilmer Norman,2017-06-08,['background music'],217000,46,0.549,0.0234,9,-17.838,0,0.257,0.986,0.963,0.106,0.279,66.135,4
Shimbashi,Edo Vibes,Edo Vibes,2018-05-17,['background music'],182166,42,0.348,0.0189,9,-25.765,0,0.0454,0.994,0.944,0.113,0.21,67.563,4
Yoga Meditation and Relaxation,"Kundalini: Yoga, Meditation, Relaxation","Kundalini: Yoga, Meditation, Relaxation",2010-10-01,['sleep'],153156,48,0.2,0.00461,10,-32.499,1,0.0372,0.991,0.942,0.257,0.239,75.284,4
Reverse Pads,The High Lands of Tibet,La-Mu,2018-01-19,[],214167,30,0.152,0.00591,0,-38.332,0,0.0446,0.974,0.928,0.108,0.0367,136.708,1
La,Screws,Nils Frahm,2012-12-03,"['compositional ambient', 'electronica', 'focus', 'neo-classical', 'neoclassical darkwave']",191031,51,0.312,0.0465,8,-24.748,0,0.068,0.985,0.857,0.118,0.116,40.645,3
Reminisce in D,Reminisce in D,kvíðahópur,2011,[],134220,37,0.347,0.0459,2,-18.944,0,0.0446,0.969,0.896,0.0948,0.0792,126.749,3
Glitching,Glitching,Solvekin,2017-08-30,['background music'],138798,47,0.161,0.00613,0,-38.027,1,0.039,0.994,0.846,0.0895,0.0363,74.671,1
The Lighthouse,Focus Your Brain - Deep Ambient Soundscapes Vol 1,Various Artists,2016-07-31,[],221767,44,0.201,0.0597,0,-28.678,1,0.0358,0.506,0.863,0.112,0.0573,74.997,4
#3,Selected Ambient Works Volume II,Aphex Twin,1994-03-07,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",464293,59,0.167,0.071,6,-27.108,0,0.041,0.911,0.855,0.107,0.0613,143.315,5
Midnight Lullaby,Midnight Lullaby,Sleepnut,2017-07-30,[],133151,26,0.182,0.214,5,-21.352,0,0.0397,0.967,0.861,0.109,0.156,81.275,3
Lullaby Beach,Immerse,Rand Aldo,2018-08-10,"['background music', 'calming instrumental', 'focus']",220848,49,0.143,0.175,7,-19.153,1,0.0331,0.9,0.817,0.118,0.0463,90.135,4
Final Transmission Home,The Space Between Us,Amaranth Cove,2018-01-19,"['background music', 'focus']",175135,26,0.204,0.123,1,-17.945,1,0.0293,0.939,0.787,0.101,0.0331,72.315,4
Healing Memories,Yoga Music,Various Artists,2017-04-22,[],202305,51,0.216,0.0181,5,-30.87,1,0.0433,0.974,0.947,0.0968,0.04,67.913,1
Emerald and Stone,Small Craft On A Milk Sea,Brian Eno,2010-11-01,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'dance rock', 'drone', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism']",132306,62,0.324,0.0379,11,-25.247,1,0.0554,0.987,0.907,0.0756,0.0383,120.169,4
Lost and Found,Lost and Found,EIXE,2017-09-29,[],115109,51,0.237,0.043,3,-25.932,0,0.0501,0.981,0.935,0.11,0.132,68.553,4
Chasing Cloud Nine,Chasing Cloud Nine,LUCHS,2016-06-17,"['background music', 'calming instrumental', 'focus']",162000,58,0.16,0.0402,5,-29.325,1,0.0368,0.98,0.983,0.371,0.0715,91.435,4
Sibyl,Pillars,Hushed,2017-05-05,"['background music', 'calming instrumental', 'focus']",243795,42,0.239,0.0623,0,-26.017,1,0.0322,0.935,0.95,0.107,0.15,110.08,4
La Lluvia,La Lluvia,Relajar,2016-08-07,[],195964,51,0.376,0.0153,11,-24.718,1,0.0507,0.995,0.946,0.0844,0.1,71.861,4
Dorotea,In Dreams,Hushed,2018-04-06,"['background music', 'calming instrumental', 'focus']",205000,37,0.408,0.0917,2,-21.358,1,0.0319,0.943,0.86,0.107,0.0653,95.973,3
Far Away Sounds up Close,Bits and Pieces,Sleepaholics,2017-06-02,['ambient worship'],263998,38,0.141,0.00748,2,-36.507,1,0.0494,0.973,0.753,0.0875,0.0421,140.781,3
At Peace,At Peace,Lucina Chase,2017-08-29,[],118750,33,0.509,0.0325,0,-22.982,1,0.0315,0.989,0.913,0.0926,0.177,87.127,4
Calling,Winds of Haryana,Muni Yogi,2017-03-19,['background music'],191236,56,0.153,0.0148,6,-34.538,1,0.0482,0.972,0.679,0.122,0.0376,137.103,3
"Inside River, Pt. 2",In The Dark Woods,Akira Kosemura,2017-09-15,"['compositional ambient', 'focus', 'j-ambient', 'japanese classical', 'japanese piano', 'neo-classical']",160400,46,0.414,0.171,5,-25.092,1,0.0372,0.996,0.931,0.105,0.188,115.136,3
Return of Infinity,Return of Infinity,Becca,2016-12-04,[],158428,42,0.374,0.00905,2,-22.653,1,0.0552,0.995,0.928,0.109,0.405,76.574,3
Dream 11 (whisper music) - Pt. 1,Calming Down,Various Artists,2020-08-26,[],188936,0,0.284,0.00209,6,-37.395,1,0.0459,0.994,0.963,0.103,0.04,66.95,4
La Torre Del Sueno,Mariposas,Meditaciónessa,2018-03-04,"['musica de fondo', 'pianissimo', 'world meditation']",230573,52,0.149,0.00987,5,-32.222,0,0.0582,0.991,0.952,0.102,0.0628,139.577,3
A Glowing Heart,Silent Shores,Deep Inside,2014-03-04,['background music'],119615,55,0.143,0.00155,0,-34.708,1,0.0428,0.99,0.921,0.1,0.0393,139.516,3
Wake up Rested,Slip into Darkness,Biqram,2017-06-27,[],185490,53,0.174,0.0166,3,-30.951,1,0.0676,0.983,0.681,0.109,0.0361,132.125,5
Finally You Needed Me,Finally You Needed Me,Ageena,2017-09-04,['background music'],226693,45,0.193,0.0433,2,-28.752,1,0.0387,0.972,0.834,0.0975,0.166,126.16,3
Slow Breathing,"Celtic Spa & Relaxation (Best Classic Irish Harp & Flute, Relax & Have Stress Free St. Patrick’s Day)",Various Artists,2018-01-29,[],211850,29,0.393,0.00918,0,-31.246,1,0.0348,0.993,0.908,0.0728,0.0794,80.002,4
The Giant,The Giant,Dilia,2018-02-13,['calming instrumental'],183686,62,0.565,0.0843,5,-24.145,1,0.0448,0.994,0.947,0.12,0.44,86.022,3
Live Beneath,Live Beneath,Cerulean Skies,2017-10-07,['background music'],160466,26,0.304,0.0483,7,-26.155,0,0.0401,0.966,0.871,0.103,0.0636,79.935,4
Water Clouds,Water Clouds,Ambientalism,2016-03-30,[],174757,33,0.242,0.0138,9,-29.419,0,0.0411,0.992,0.945,0.106,0.139,69.735,4
Pinô,Pinô,Otto Totland,2014-01-31,"['focus', 'neo-classical']",165995,57,0.494,0.0453,5,-28.914,1,0.0378,0.995,0.927,0.112,0.103,80.743,4
Vigil,Mass Effect (EA Games Soundtrack),Various Artists,2007-11-20,[],102480,33,0.281,0.228,5,-15.603,1,0.0362,0.886,0.971,0.122,0.0358,66.384,3
Way Back Down,Way Back Down,Cadet de l'espace,2018-05-08,[],227750,41,0.273,0.00782,4,-25.901,0,0.0385,0.983,0.904,0.0875,0.104,70.253,5
Solitude Island,Fall Of A Raindrop,Calm Shores,2018-02-02,"['background music', 'focus', 'sleep']",236529,44,0.235,0.0549,0,-23.938,1,0.0368,0.991,0.925,0.104,0.0389,129.897,4
Squares of life,Squares of Life,Piotr Miteska,2016-07-20,"['background music', 'focus', 'neo-classical']",165034,53,0.27,0.0102,11,-22.34,0,0.0386,0.993,0.918,0.0919,0.06,71.967,4
Sobraon Occasional,To Be Still,By Lotus,2018-01-19,['background music'],200175,30,0.127,0.046,7,-33.046,1,0.0346,0.97,0.889,0.0688,0.037,70.551,4
Finding It There,The Malady Of Elegance,Goldmund,2008-09-05,"['ambient', 'compositional ambient', 'drone', 'focus', 'neo-classical', 'nu age']",220186,46,0.202,0.00259,6,-37.124,1,0.0425,0.994,0.952,0.12,0.0364,120.734,5
Two Hearts,Demi Sec,Sub-City Keys,2018-03-28,"['background music', 'focus']",196000,44,0.466,0.0211,7,-22.379,0,0.0475,0.992,0.959,0.107,0.313,92.111,4
Paper Thin Reality,Paper Thin Reality,Ave Air,2018-08-10,"['background music', 'focus']",214073,49,0.281,0.11,3,-21.023,1,0.0367,0.945,0.928,0.113,0.0387,78.755,5
Depths of Eternity,Depths of Eternity,William Roud,2017-09-25,[],178370,47,0.129,0.0488,11,-23.641,1,0.037,0.96,0.904,0.108,0.0352,68.8,4
"Fragment, Pt. 1",Ichiru,Daigo Hanada,2017-02-24,"['compositional ambient', 'focus', 'japanese piano', 'neo-classical']",128042,44,0.354,0.0106,9,-29.524,0,0.039,0.993,0.968,0.106,0.106,75.606,3
Luna,Luna,Ebb & Flod,2016-10-03,"['background music', 'focus']",148965,48,0.296,0.276,1,-19.499,0,0.0416,0.963,0.948,0.14,0.225,116.242,4
Sugarcane,Sugarcane,Ana Olgica,2016-12-14,"['background music', 'background piano', 'calming instrumental', 'focus', 'neo-classical']",144500,66,0.361,0.0165,0,-27.874,1,0.0615,0.995,0.967,0.0834,0.452,114.346,3
Olopte's Lullaby,Suite Of Dreams,Gabriela Parra,2016-07-08,['focus'],167012,37,0.367,0.047,5,-22.13,0,0.0485,0.995,0.912,0.115,0.257,75.693,4
Nemo Egg (Main Title),Finding Nemo (Original Motion Picture Soundtrack),Thomas Newman,2003-05-20,"['scorecore', 'soundtrack']",76133,62,0.164,0.0248,5,-27.25,1,0.0462,0.98,0.967,0.103,0.0553,79.083,3
Connection,Tasteology Soundtrack,Carl Borg,2017-01-26,[],69818,54,0.199,0.00937,7,-27.362,0,0.0402,0.974,0.984,0.114,0.0327,88.76,1
An Ending (Ascent) - Remastered 2005,Apollo,Brian Eno,1983-07-01,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'dance rock', 'drone', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism']",266200,58,0.257,0.0906,8,-25.381,1,0.07,0.932,0.985,0.0786,0.0451,67.46,3
An Ending (Ascent) - Remastered 2005,Apollo,Brian Eno,1983-07-01,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'dance rock', 'drone', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism']",266200,58,0.257,0.0906,8,-25.381,1,0.07,0.932,0.985,0.0786,0.0451,67.46,3
Still Life,In Dreams,Hushed,2018-04-06,"['background music', 'calming instrumental', 'focus']",158756,45,0.196,0.0297,5,-27.018,1,0.0398,0.622,0.716,0.111,0.0362,84.49,4
Northern Light,Piano & Chill,Various Artists,2016-07-31,[],191676,46,0.668,0.00506,5,-26.865,0,0.0617,0.969,0.856,0.115,0.563,119.96,3
Sweden,Minecraft - Volume Alpha,C418,2011-03-04,['minecraft'],215500,66,0.642,0.01,2,-25.164,1,0.0446,0.992,0.945,0.103,0.197,87.971,4
A Presence Felt,The Crossing,Gavin Luke,2018-05-04,"['background music', 'calming instrumental', 'focus', 'neo-classical']",184001,42,0.186,0.0286,9,-26.125,0,0.0414,0.985,0.886,0.0828,0.23,170.762,4
Faded Dreams,Faded Dreams,Aaron Lansing,2017-02-07,['focus'],111803,63,0.429,0.0107,9,-33.377,0,0.074,0.994,0.967,0.136,0.142,116.059,4
Dawning,Dawning,Lights From A Distance,2017-09-03,"['background music', 'focus']",167746,53,0.188,0.0279,3,-26.587,0,0.0394,0.972,0.949,0.114,0.0604,74.142,4
Atoms,Atoms,Ana Olgica,2017-02-07,"['background music', 'background piano', 'calming instrumental', 'focus', 'neo-classical']",139804,57,0.412,0.00289,2,-29.012,1,0.0523,0.994,0.937,0.0857,0.171,68.711,4
melt,Chessa,Shuttle358,2004-11-01,"['experimental ambient', 'microhouse']",333600,18,0.11,0.21,6,-23.527,0,0.0341,0.948,0.958,0.106,0.0478,159.966,5
Degrees Of Separation,Degrees Of Separation,Trevor Kowalski,2018-05-25,"['background music', 'calming instrumental', 'focus']",212863,25,0.186,0.191,4,-17.184,0,0.0401,0.968,0.908,0.12,0.0605,72.944,4
Keep Breathing,Unspoken Words,Etheral Gust,2018-01-16,['atmosphere'],177238,47,0.136,0.0132,4,-34.319,1,0.0422,0.971,0.8,0.101,0.0406,71.387,4
Sweet Frederik,Beyond the Milky Way,Phamie Gow,2018-03-01,"['celtic harp', 'harp']",159680,30,0.241,0.0852,5,-24.472,1,0.0571,0.995,0.92,0.0784,0.117,75.319,1
Lights On Water,Quiet City,Pan-American,2004-06-21,"['ambient', 'compositional ambient', 'dark jazz', 'drift', 'drone', 'dub techno', 'fourth world', 'indie electronica', 'microhouse', 'post-rock', 'sound art']",230213,27,0.156,0.0945,8,-22.386,1,0.0435,0.832,0.902,0.0974,0.0657,65.687,4
Aoi,Sapphire,Arden Forest,2018-05-25,"['background music', 'background piano', 'calming instrumental', 'focus']",127750,39,0.62,0.029,1,-21.866,1,0.0859,0.994,0.957,0.0973,0.621,74.79,4
Moods of the Valley,Moods Of The Valley,Otto Wahl,2016-07-19,['background piano'],227472,43,0.424,0.102,6,-21.383,1,0.0478,0.993,0.941,0.106,0.104,137.699,4
Cavatina,Ambient Hits,Tranquil Cove,2017-09-29,"['atmosphere', 'background music']",204254,46,0.223,0.0251,11,-32.81,1,0.0705,0.991,0.756,0.101,0.106,68.061,4
Soft Upon Your Face,Paper Thin Reality,Ave Air,2018-08-10,"['background music', 'focus']",194836,51,0.177,0.0854,8,-22.918,1,0.0478,0.957,0.92,0.118,0.036,81.039,4
Slip into Darkness,Slip into Darkness,Biqram,2017-06-27,[],122176,48,0.312,0.012,5,-31.292,0,0.0398,0.992,0.885,0.111,0.192,143.963,4
Dream 1 (before the wind blows it all away) - Pt. 1,Sleep,Max Richter,2015,"['compositional ambient', 'post-minimalism', 'soundtrack']",153101,64,0.214,0.00144,6,-39.869,1,0.0487,0.995,0.968,0.0998,0.0866,72.046,4
Solêr,Pinô,Otto Totland,2014-01-31,"['focus', 'neo-classical']",155880,61,0.333,0.0634,3,-26.645,0,0.0516,0.994,0.927,0.136,0.45,168.232,4
Crystal Clear,The Road To Meteora,Johannes Bornlöf,2016-06-09,"['calming instrumental', 'classify', 'focus', 'neo-classical']",127200,49,0.24,0.00452,5,-38.772,1,0.0408,0.987,0.978,0.076,0.0383,74.552,4
Evolutionistically Yours,Evolutionistically Yours,Józef Gatysik,2017-02-07,['focus'],160897,61,0.322,0.0121,5,-31.994,1,0.0491,0.993,0.927,0.127,0.118,112.464,4
The Fog of The Shire,The Fog of The Shire,Antuigo,2017-07-06,['background music'],182030,37,0.266,0.0638,0,-17.688,1,0.0349,0.995,0.925,0.109,0.0437,72.853,4
Mystery Island,Mystery Island,The Golden Islands,2017-10-03,['focus'],167500,23,0.184,0.137,9,-20.797,0,0.0341,0.988,0.9,0.109,0.0554,133.365,1
Daughters,Sacre Coeur,Adelisé,2018-02-08,[],89046,29,0.172,0.0202,5,-28.445,1,0.0414,0.953,0.797,0.111,0.354,172.992,4
Thinking Like The Flowers,Immerse,Rand Aldo,2018-08-10,"['background music', 'calming instrumental', 'focus']",241716,50,0.35,0.0187,3,-28.343,1,0.0336,0.984,0.942,0.142,0.141,84.021,4
Aware,Aware,Inkognitone,2017-09-07,['background music'],175263,42,0.177,0.0618,3,-22.682,1,0.0433,0.942,0.968,0.106,0.0383,80.96,4
Magnetic,Magnetic,Strange Imagining,2018-02-13,"['background music', 'focus']",172456,54,0.512,0.121,9,-19.46,1,0.0338,0.991,0.74,0.0726,0.298,69.981,4
Close - Cello Version,Close,Lunaire,2018-01-24,['calming instrumental'],209799,48,0.22,0.0921,0,-21.199,1,0.0334,0.944,0.913,0.0658,0.0382,75.242,1
Tallis One,Tallis One,Samuel Lindon,2016-12-12,"['background music', 'background piano', 'calming instrumental', 'focus', 'neo-classical']",117401,60,0.41,0.0199,0,-26.699,1,0.0449,0.993,0.949,0.0897,0.178,107.378,4
Introspection (Edit),Introspection (Edit),Laraaji,2017-07-19,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'drone', 'experimental', 'fourth world', 'freak folk']",155411,54,0.102,0.125,9,-21.786,0,0.0329,0.941,0.594,0.0699,0.0341,79.609,3
