features_idx,not_features_idx,tracks,artists,Score,track_artist,song_writer
389,7497,1.0,1.0,2.0,"Leaving On A Jet Plane_Peter, Paul And Mary","Leaving On A Jet Plane_Peter, Paul & Mary"
389,7498,1.0,1.0,2.0,"Leaving On A Jet Plane_Peter, Paul And Mary","Leaving On A Jet Plane_Peter, Paul & Mary"
389,7499,1.0,1.0,2.0,"Leaving On A Jet Plane_Peter, Paul And Mary","Leaving On A Jet Plane_Peter, Paul & Mary"
389,7500,1.0,1.0,2.0,"Leaving On A Jet Plane_Peter, Paul And Mary","Leaving On A Jet Plane_Peter, Paul & Mary"
399,7714,1.0,1.0,2.0,Your Ghost_Axel Flóvent,Your Ghost_Axel Flovent
399,7715,1.0,1.0,2.0,Your Ghost_Axel Flóvent,Your Ghost_Axel Flovent
406,7846,1.0,1.0,2.0,How I Made My Millions - Remastered_Radiohead,How I Made My Millions (remastered)_Radiohead
406,7847,1.0,1.0,2.0,How I Made My Millions - Remastered_Radiohead,How I Made My Millions (remastered)_Radiohead
406,7848,1.0,1.0,2.0,How I Made My Millions - Remastered_Radiohead,How I Made My Millions (remastered)_Radiohead
406,7849,1.0,1.0,2.0,How I Made My Millions - Remastered_Radiohead,How I Made My Millions (remastered)_Radiohead
414,7931,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
414,7932,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
414,7933,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
414,7934,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
414,7935,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
414,7936,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
414,7937,1.0,1.0,2.0,Meeting In The Aisle - Remastered_Radiohead,Meeting In The Aisle (remastered)_Radiohead
426,8006,1.0,1.0,2.0,What Are The Chances?_Duran Duran,What Are The Chances_Duran Duran
454,8244,1.0,1.0,2.0,Lights On Water_Pan-american,Lights On Water_Pan•american
454,8245,1.0,1.0,2.0,Lights On Water_Pan-american,Lights On Water_Pan•american
463,8267,1.0,1.0,2.0,"Bullwinkle, Pt. Ii_The Centurians",Bullwinkle Pt. Ii_The Centurians
464,8268,1.0,1.0,2.0,Natural Disasters_City And Colour,Natural Disaster_City And Colour
466,8291,1.0,1.0,2.0,Who Is She ?_I Monster,Who Is She?_I Monster
486,8662,1.0,1.0,2.0,Kick Drums & Red Wine - Instrumental_The Midnight,Kick Drums & Red Wine (instrumental)_The Midnight
486,8663,1.0,1.0,2.0,Kick Drums & Red Wine - Instrumental_The Midnight,Kick Drums & Red Wine (instrumental)_The Midnight
494,8709,1.0,1.0,2.0,Can’t Stand Me Now_The Libertines,Can't Stand Me Now_The Libertines
506,8832,1.0,1.0,2.0,Quiet Eyes_Axel Flóvent,Quiet Eyes_Axel Flovent
506,8833,1.0,1.0,2.0,Quiet Eyes_Axel Flóvent,Quiet Eyes_Axel Flovent
516,8952,1.0,1.0,2.0,Catch A Fire_Mojo Juju & The Snake-oil Merchants,Catch A Fire_Mojo Juju & The Snake Oil Merchants
516,8953,1.0,1.0,2.0,Catch A Fire_Mojo Juju & The Snake-oil Merchants,Catch A Fire_Mojo Juju & The Snake Oil Merchants
522,8988,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
522,8989,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
522,8990,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
522,8991,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
522,8992,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
522,8993,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
522,8994,1.0,1.0,2.0,Red - The Walton Hoax Remix_Mt. Wolf,Red (the Walton Hoax Remix)_Mt. Wolf
525,9015,1.0,1.0,2.0,Seize The Day - Phonovisions Symphonic Version_Wax Tailor,Seize The Day (phonovisions Symphonic Version)_Wax Tailor
527,9091,1.0,1.0,2.0,"Cross My Mind, Pt. 2 (feat. Kiiara)_A R I Z O N A",Cross My Mind Pt. 2 (feat. Kiiara)_A R I Z O N A
527,9092,1.0,1.0,2.0,"Cross My Mind, Pt. 2 (feat. Kiiara)_A R I Z O N A",Cross My Mind Pt. 2 (feat. Kiiara)_A R I Z O N A
527,9093,1.0,1.0,2.0,"Cross My Mind, Pt. 2 (feat. Kiiara)_A R I Z O N A",Cross My Mind Pt. 2 (feat. Kiiara)_A R I Z O N A
527,9094,1.0,1.0,2.0,"Cross My Mind, Pt. 2 (feat. Kiiara)_A R I Z O N A",Cross My Mind Pt. 2 (feat. Kiiara)_A R I Z O N A
527,9095,1.0,1.0,2.0,"Cross My Mind, Pt. 2 (feat. Kiiara)_A R I Z O N A",Cross My Mind Pt. 2 (feat. Kiiara)_A R I Z O N A
527,9096,1.0,1.0,2.0,"Cross My Mind, Pt. 2 (feat. Kiiara)_A R I Z O N A",Cross My Mind Pt. 2 (feat. Kiiara)_A R I Z O N A
534,9165,1.0,1.0,2.0,River Of Darkness - Instrumental_The Midnight,River Of Darkness (instrumental)_The Midnight
548,13903,1.0,1.0,2.0,Polyethylene (parts 1 & 2) - Remastered_Radiohead,Polyethylene (parts 1 & 2) (remastered)_Radiohead
551,9320,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9321,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
551,9322,1.0,1.0,2.0,"Again (from ""fullmetal Alchemist: Brotherhood"")_Amalee",Again (fullmetal Alchemist: Brotherhood)_Amalee
