features_idx,not_features_idx,tracks,artists,Score,artist_track,writer_song
356,7186,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7187,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7188,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7189,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
356,7190,1.0,1.0,2.0,Radiohead_Exit Music (for A Film) - Remastered,Radiohead_Exit Music (for A Film) (remastered)
363,7255,1.0,1.0,2.0,No-man_The Break Up For Real,No-man_The Break-up For Real
363,7256,1.0,1.0,2.0,No-man_The Break Up For Real,No-man_The Break-up For Real
363,7257,1.0,1.0,2.0,No-man_The Break Up For Real,No-man_The Break-up For Real
363,7258,1.0,1.0,2.0,No-man_The Break Up For Real,No-man_The Break-up For Real
386,7478,1.0,1.0,2.0,Low Roar_Friends Make Garbage (good Friends Take It Out),"Low Roar_Friends Make Garbage, Good Friends Take It Out"
386,7479,1.0,1.0,2.0,Low Roar_Friends Make Garbage (good Friends Take It Out),"Low Roar_Friends Make Garbage, Good Friends Take It Out"
389,7495,1.0,1.0,2.0,"Peter, Paul And Mary_Leaving On A Jet Plane","Peter, Paul & Mary_Leaving On A Jet Plane"
389,7496,1.0,1.0,2.0,"Peter, Paul And Mary_Leaving On A Jet Plane","Peter, Paul & Mary_Leaving On A Jet Plane"
389,7497,1.0,1.0,2.0,"Peter, Paul And Mary_Leaving On A Jet Plane","Peter, Paul & Mary_Leaving On A Jet Plane"
389,7498,1.0,1.0,2.0,"Peter, Paul And Mary_Leaving On A Jet Plane","Peter, Paul & Mary_Leaving On A Jet Plane"
389,7499,1.0,1.0,2.0,"Peter, Paul And Mary_Leaving On A Jet Plane","Peter, Paul & Mary_Leaving On A Jet Plane"
389,7500,1.0,1.0,2.0,"Peter, Paul And Mary_Leaving On A Jet Plane","Peter, Paul & Mary_Leaving On A Jet Plane"
399,7714,1.0,1.0,2.0,Axel Flóvent_Your Ghost,Axel Flovent_Your Ghost
399,7715,1.0,1.0,2.0,Axel Flóvent_Your Ghost,Axel Flovent_Your Ghost
406,7846,1.0,1.0,2.0,Radiohead_How I Made My Millions - Remastered,Radiohead_How I Made My Millions (remastered)
406,7847,1.0,1.0,2.0,Radiohead_How I Made My Millions - Remastered,Radiohead_How I Made My Millions (remastered)
406,7848,1.0,1.0,2.0,Radiohead_How I Made My Millions - Remastered,Radiohead_How I Made My Millions (remastered)
406,7849,1.0,1.0,2.0,Radiohead_How I Made My Millions - Remastered,Radiohead_How I Made My Millions (remastered)
414,7931,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
414,7932,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
414,7933,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
414,7934,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
414,7935,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
414,7936,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
414,7937,1.0,1.0,2.0,Radiohead_Meeting In The Aisle - Remastered,Radiohead_Meeting In The Aisle (remastered)
426,8006,1.0,1.0,2.0,Duran Duran_What Are The Chances?,Duran Duran_What Are The Chances
454,8244,1.0,1.0,2.0,Pan-american_Lights On Water,Pan•american_Lights On Water
454,8245,1.0,1.0,2.0,Pan-american_Lights On Water,Pan•american_Lights On Water
463,8267,1.0,1.0,2.0,"The Centurians_Bullwinkle, Pt. Ii",The Centurians_Bullwinkle Pt. Ii
464,8268,1.0,1.0,2.0,City And Colour_Natural Disasters,City And Colour_Natural Disaster
466,8291,1.0,1.0,2.0,I Monster_Who Is She ?,I Monster_Who Is She?
486,8662,1.0,1.0,2.0,The Midnight_Kick Drums & Red Wine - Instrumental,The Midnight_Kick Drums & Red Wine (instrumental)
486,8663,1.0,1.0,2.0,The Midnight_Kick Drums & Red Wine - Instrumental,The Midnight_Kick Drums & Red Wine (instrumental)
494,8709,1.0,1.0,2.0,The Libertines_Can’t Stand Me Now,The Libertines_Can't Stand Me Now
506,8832,1.0,1.0,2.0,Axel Flóvent_Quiet Eyes,Axel Flovent_Quiet Eyes
506,8833,1.0,1.0,2.0,Axel Flóvent_Quiet Eyes,Axel Flovent_Quiet Eyes
516,8952,1.0,1.0,2.0,Mojo Juju & The Snake-oil Merchants_Catch A Fire,Mojo Juju & The Snake Oil Merchants_Catch A Fire
516,8953,1.0,1.0,2.0,Mojo Juju & The Snake-oil Merchants_Catch A Fire,Mojo Juju & The Snake Oil Merchants_Catch A Fire
522,8988,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
522,8989,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
522,8990,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
522,8991,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
522,8992,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
522,8993,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
522,8994,1.0,1.0,2.0,Mt. Wolf_Red - The Walton Hoax Remix,Mt. Wolf_Red (the Walton Hoax Remix)
525,9015,1.0,1.0,2.0,Wax Tailor_Seize The Day - Phonovisions Symphonic Version,Wax Tailor_Seize The Day (phonovisions Symphonic Version)
527,9091,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind, Pt. 2 (feat. Kiiara)",A R I Z O N A_Cross My Mind Pt. 2 (feat. Kiiara)
527,9092,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind, Pt. 2 (feat. Kiiara)",A R I Z O N A_Cross My Mind Pt. 2 (feat. Kiiara)
527,9093,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind, Pt. 2 (feat. Kiiara)",A R I Z O N A_Cross My Mind Pt. 2 (feat. Kiiara)
527,9094,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind, Pt. 2 (feat. Kiiara)",A R I Z O N A_Cross My Mind Pt. 2 (feat. Kiiara)
527,9095,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind, Pt. 2 (feat. Kiiara)",A R I Z O N A_Cross My Mind Pt. 2 (feat. Kiiara)
527,9096,1.0,1.0,2.0,"A R I Z O N A_Cross My Mind, Pt. 2 (feat. Kiiara)",A R I Z O N A_Cross My Mind Pt. 2 (feat. Kiiara)
534,9165,1.0,1.0,2.0,The Midnight_River Of Darkness - Instrumental,The Midnight_River Of Darkness (instrumental)
548,13903,1.0,1.0,2.0,Radiohead_Polyethylene (parts 1 & 2) - Remastered,Radiohead_Polyethylene (parts 1 & 2) (remastered)
551,9320,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9321,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9322,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9323,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9324,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9325,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9326,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9327,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9328,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9329,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9330,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
551,9331,1.0,1.0,2.0,"Amalee_Again (from ""fullmetal Alchemist: Brotherhood"")",Amalee_Again (fullmetal Alchemist: Brotherhood)
563,9497,1.0,1.0,2.0,Sensations Fix_Acudreaming,Sensations' Fix_Acudreaming
590,10030,1.0,1.0,2.0,Weezer_Keep Fishin',Weezer_Keep Fishin
591,10039,1.0,1.0,2.0,The Script_Good Ol' Days,The Script_Good Ol’ Days
594,10131,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10132,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10133,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10134,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
594,10135,1.0,1.0,2.0,Tycho_Dictaphone's Lament,Tycho_Dictaphone’s Lament
