,name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
430,Satellite Response,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",73480,7,0.293,0.21,6,-24.036,0,0.0479,0.507,0.908,0.0867,0.0391,163.259,4
431,Burning Compound,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",77546,4,0.186,0.0344,9,-30.258,0,0.0538,0.813,0.423,0.0881,0.0363,61.41,4
432,Out for Blood,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",101573,3,0.414,0.0505,1,-21.769,1,0.0435,0.647,0.887,0.0917,0.0276,101.676,4
433,Survivor List,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",153106,23,0.0667,0.00277,11,-35.226,0,0.0384,0.841,0.921,0.105,0.0372,65.747,4
434,McLellan Prison,Waco (Original Score Soundtrack),Jeff Russo,2018-02-09,"['scorecore', 'soundtrack', 'video game music']",246013,6,0.0596,0.00726,2,-30.45,1,0.0452,0.678,0.87,0.0753,0.034,59.626,3
435,Edith's Theme,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",196713,31,0.161,0.0316,2,-28.79,0,0.0418,0.992,0.924,0.0759,0.0315,73.524,5
436,The House,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",210000,21,0.154,0.00672,2,-32.263,0,0.0464,0.987,0.899,0.105,0.0348,136.301,5
437,Molly's Room,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",264000,18,0.369,0.0067,5,-36.338,1,0.039,0.955,0.895,0.0888,0.0315,99.827,4
438,Molly's Hunger (Owl),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",100348,17,0.0683,0.0715,7,-24.97,0,0.0376,0.99,0.917,0.0693,0.059,72.336,4
439,Molly's Hunger (Shark),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",180705,16,0.0852,0.0417,0,-33.884,0,0.0334,0.941,0.865,0.189,0.121,168.569,3
440,Molly's Hunger (Monster),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",110666,18,0.157,0.0752,10,-28.351,1,0.0331,0.95,0.929,0.0983,0.0603,79.563,4
441,Calvin's Swingset,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",171212,18,0.146,0.0126,7,-29.947,0,0.0455,0.986,0.924,0.0622,0.034,75.791,4
442,Walter's Bunker,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",104688,17,0.15,0.00619,7,-31.967,1,0.0465,0.98,0.908,0.132,0.0349,74.952,3
443,Sam's Hunting Trip,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",116533,20,0.595,0.00182,5,-30.495,1,0.0367,0.922,0.383,0.0934,0.0444,74.883,1
444,Gus's Kite,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",288266,16,0.168,0.022,0,-24.385,0,0.047,0.974,0.976,0.106,0.0343,112.171,4
445,Milton's Tower,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",56000,34,0.414,0.00893,1,-27.565,1,0.0432,0.991,0.944,0.09,0.0439,89.867,3
446,Lewis's Coronation (Daydream),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",144000,16,0.22,0.00609,7,-33.322,0,0.0408,0.978,0.945,0.0792,0.027,68.27,3
447,Lewis's Coronation (Marching Band),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",72000,20,0.914,0.0475,5,-26.094,1,0.0563,0.865,0.919,0.0762,0.69,119.968,4
448,Lewis's Coronation (Sailing Ship),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",163902,16,0.451,0.0802,9,-24.497,0,0.0351,0.972,0.758,0.0434,0.142,122.895,4
449,Lewis's Coronation (Palace),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",106411,15,0.213,0.0858,2,-22.131,0,0.0419,0.885,0.867,0.128,0.0397,67.872,3
450,Lewis's Coronation (Crowning),What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",86000,20,0.786,0.206,5,-19.663,1,0.0503,0.952,0.916,0.0575,0.806,119.975,4
451,The Finale,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",347228,19,0.0635,0.0135,7,-33.158,0,0.051,0.986,0.898,0.0726,0.0368,66.883,4
452,The End,What Remains of Edith Finch (Original Soundtrack),Jeff Russo,2018-01-09,"['scorecore', 'soundtrack', 'video game music']",280041,21,0.398,0.0163,7,-36.113,0,0.0379,0.975,0.963,0.0981,0.0449,114.249,4
453,Main Title (Aired Version),Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",93573,21,0.228,0.281,2,-12.898,0,0.0333,0.833,0.916,0.0525,0.0992,142.809,4
454,We Come in Peace,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",82207,10,0.335,0.339,0,-18.194,0,0.029,0.575,0.797,0.0969,0.123,81.016,4
455,First Officer's Log,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",69319,9,0.238,0.0737,5,-23.077,1,0.0425,0.955,0.959,0.0695,0.0397,65.051,4
456,I'll Go,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",479578,10,0.255,0.231,0,-23.968,0,0.054,0.806,0.898,0.0779,0.037,125.221,4
457,The Day is Saved,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",190597,13,0.0611,0.0131,2,-24.84,0,0.0447,0.984,0.973,0.096,0.0349,64.482,3
458,Torchbearer,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",116626,8,0.164,0.34,7,-12.78,0,0.0363,0.212,0.876,0.2,0.0354,109.756,4
459,PTSD,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",156554,9,0.112,0.0595,2,-24.87,1,0.0364,0.72,0.876,0.111,0.0306,71.268,3
460,Persistence,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",64353,11,0.731,0.167,0,-23.986,0,0.0655,0.686,0.956,0.105,0.675,141.991,4
461,Stranded,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",252297,8,0.28,0.165,2,-19.338,0,0.0367,0.802,0.91,0.113,0.0455,120.109,4
462,What Did You Mean by That?,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",65225,7,0.547,0.239,8,-23.436,1,0.0637,0.767,0.935,0.103,0.203,124.927,4
463,I Can't Dance,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",113297,9,0.275,0.0558,2,-24.571,0,0.0374,0.9,0.911,0.118,0.0368,105.346,3
464,Captain Mudd,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",166627,7,0.239,0.205,10,-22.052,0,0.0488,0.0641,0.866,0.422,0.0346,117.571,4
465,Stella,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",125896,7,0.177,0.0614,7,-21.157,1,0.0455,0.968,0.918,0.0502,0.0349,80.76,1
466,Facing Off,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",290584,7,0.318,0.0631,0,-22.31,0,0.0357,0.647,0.903,0.264,0.0387,135.952,4
467,Undetermined,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",111661,7,0.485,0.22,0,-16.157,0,0.048,0.676,0.837,0.111,0.168,121.144,4
468,Watch the Stars Fall,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",119576,7,0.139,0.00955,2,-32.842,0,0.0427,0.989,0.975,0.137,0.0392,85.291,4
469,Weakened Shields,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",260976,7,0.186,0.231,0,-18.427,0,0.0392,0.548,0.848,0.132,0.0374,149.709,1
470,What's Happening?,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",60240,7,0.0639,0.152,9,-17.095,0,0.0367,0.901,0.899,0.146,0.0572,60.365,5
471,Personal Log,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",98549,7,0.251,0.175,7,-21.157,0,0.041,0.867,0.936,0.0667,0.0352,120.135,4
472,The Charge of Mutiny,Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",128737,7,0.18,0.0343,0,-28.059,0,0.0379,0.908,0.914,0.109,0.0296,64.128,3
473,Main Title (Extended),Star Trek: Discovery (Original Series Soundtrack),Jeff Russo,2017-12-15,"['scorecore', 'soundtrack', 'video game music']",130752,24,0.381,0.457,10,-13.302,1,0.036,0.624,0.902,0.0822,0.228,142.109,4
474,Time Traveler - Single from Star Trek: Discovery Season 2 Soundtrack,Time Traveler (Single from Star Trek: Discovery Season 2 Soundtrack),Jeff Russo,2019-07-05,"['scorecore', 'soundtrack', 'video game music']",165493,0,0.091,0.465,10,-14.071,1,0.0522,0.194,0.897,0.152,0.0399,76.152,5
475,Time Traveler - Single from Star Trek: Discovery Season 2 Soundtrack,Time Traveler (Single from Star Trek: Discovery Season 2 Soundtrack),Jeff Russo,2019-07-05,"['scorecore', 'soundtrack', 'video game music']",165493,2,0.091,0.465,10,-14.071,1,0.0522,0.194,0.897,0.152,0.0399,76.152,5
476,Jeff Russo - Legion Podcast,Jeff Russo - Legion Podcast,Jeff Russo,2019-05-15,"['scorecore', 'soundtrack', 'video game music']",1949456,0,0.696,0.107,10,-19.048,1,0.816,0.899,0.0,0.334,0.3,108.129,4
477,Jeff Russo - The Umbrella Academy Podcast,Jeff Russo - The Umbrella Academy Podcast,Jeff Russo,2019-05-15,"['scorecore', 'soundtrack', 'video game music']",1380457,1,0.664,0.307,0,-14.628,1,0.872,0.884,0.0,0.0797,0.326,101.287,3
